baseline,path,category,bytes,mechanical_check,manual_review,risk_pattern_hits,boundary
"2f6e7ab716477dd9983f6599dc2d414c32770010",".config/code-server/README.md","documentation","2042","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".config/code-server/config.yaml","restricted-config","104","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010",".gitattributes","source-config","102","metadata-only","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".github/workflows/README.md","documentation","2164","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".github/workflows/test.yml","source-config","4594","YAML parser passed; job/permission/audit gate inspected","partial independent review (not line-by-line)","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".gitignore","source-config","1322","metadata-only","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/.gitignore","source-config","176","metadata-only","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/commit-now/SKILL.md","documentation","2015","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/docs-sync/SKILL.md","documentation","1396","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/evidence-check/README.md","documentation","894","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/evidence-check/SKILL.md","documentation","1441","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/evidence-check/references/checklist.md","documentation","540","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/evidence-check/workflow.json","source-config","145","JSON parse passed; not schema certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/fix-tests/SKILL.md","documentation","968","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010",".webagent/skills/review/SKILL.md","documentation","1018","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","AGENTS.md","documentation","1858","UTF-8 text/relative-link candidate scan; not semantic certification","partial independent review (not line-by-line)","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","CONTRIBUTING.md","documentation","2254","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","LICENSE","documentation","753","metadata-only","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","README.md","documentation","8122","UTF-8 text/relative-link candidate scan; not semantic certification","partial independent review (not line-by-line)","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","SECURITY.md","documentation","21877","UTF-8 text/relative-link candidate scan; not semantic certification","partial independent review (not line-by-line)","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/README-PYTHON.md","paused","7694","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/README.md","paused","12535","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/TRANSPORT_REVIEW.md","paused","9079","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/active_probe.py","paused","11038","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/agent_model_id.py","paused","12080","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/arena_probe.py","paused","36779","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/extract_catalog.py","paused","5924","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/extract_model_labels.py","paused","6295","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/extract_model_map2.py","paused","6912","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/final_e2e.py","paused","13004","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
